,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
69,Basildon,182.49564962061885,1877.5802999999992,2815.255181050376,5631.7165493509065,177.7611735367634,1937.2037981600802,-2.0792369024814614,110.37200686148783,3039.252095903745,816.0871112131008,5117.616283838341,3134.6974599930736
70,Bedford,1136.3005908018056,8098.939399999998,2116.827916816509,5278.481520870162,37.3685467938608,1961.229539872918,-56.58594775902379,109.00596658590045,2815.3702259336715,862.6804238785542,5344.881133695506,1158.866936502564
71,Braintree,1303.5311364006368,10399.0343,1020.6475171880177,5026.694831971921,28.23896795411912,2682.698817096901,-92.07563029111773,116.97549000098212,2524.738266027667,370.5288733716656,5820.7340799081785,1141.240159735297
72,Breckland,5439.710483615922,22186.9856,937.9873885569103,4681.817946138347,17.232982338279616,2532.9476233261075,1399.9481306241655,169.08094063819266,2274.834949510275,298.9426274786771,6294.982996095756,904.7175679561163
73,Brentwood,356.93107755084986,2603.1097,755.8489529876441,2943.992558599583,66.35404268114573,809.8560269777097,-134.058668633396,137.27741880167386,1263.539581345656,283.01003277324236,4517.216295632255,627.6067910241374
74,Broadland,2196.122838302631,9405.154799999997,1160.1777869856437,4495.6855000040205,31.15024680517775,3650.1958516499076,599.4173429928824,136.80331723753983,2150.777747643457,343.80189663105534,4189.7900555648175,598.508331451526
75,Broxbourne,92.8407619563784,874.5173999999997,1312.886535561152,3003.587508299562,161.6529870152073,946.3528593825595,-66.28205148848302,88.20964032737332,1615.1629329488144,191.62458953938685,2304.0330017343845,530.7420836487557
76,Cambridge,99.3210972314,691.8779000000003,2856.285703191402,3542.171772428406,315.56073976257954,626.5163055010762,28.167603576507513,102.23762301102978,2179.9843879324876,2620.7240139203145,1961.7058649094784,1108.0195186167105
77,Castle Point,53.975784547397254,1082.8728,566.3779794581261,3154.4932965384364,110.39079804846335,337.74806453641,-17.629307092547453,79.38615137808807,1508.6952177488365,203.31504373159746,1878.342849019712,855.0934996711055
78,Central Bedfordshire,1581.423780722173,12166.316899999996,2448.9489258839967,8908.56295563183,44.424852845451305,4045.5962314650906,-382.1718021620737,121.0348559797918,4512.663452044578,805.8376664784995,13024.651568184396,1360.4940828329854
79,Chelmsford,738.0364314481552,5830.952399999998,2182.7864695449525,5844.513900309722,56.541337049136075,1580.7678312369922,-110.23179238756204,114.00726833292917,2907.141323168255,766.4045212160216,6847.129952102609,1544.1129786390454
80,Colchester,738.1655632825455,5895.144399999998,1863.576347376054,5749.947414754182,53.88391289147981,1382.7562976528795,-112.24525557945775,106.31822436202621,3020.5482076115854,1258.3318226333442,5997.137374136467,1807.8273376436932
81,Dacorum,574.1115487819699,3612.1022,2024.5968566473205,5076.729193136967,71.69842497592181,923.4354999399225,-225.75643295565837,104.05766080689907,2506.0606964075278,656.2215688600526,4978.728570031151,1226.1707597972156
82,East Cambridgeshire,5205.38132110645,11079.2468,649.4584049971389,3016.0414036824773,39.68970561130035,1418.0852090119267,9917.468692156684,308.00962284120806,1432.6071893090318,187.7575708368375,4594.341468313264,878.0567467741278
83,East Hertfordshire,845.2683294691277,8086.3814999999995,1905.2961899125958,5054.797479464947,33.8101473887559,1597.7790377057781,-322.30010490619605,115.13387057705376,2395.5344616784887,567.343537071989,5068.040645207837,1366.2307894097444
84,East Suffolk,3757.825650400299,22011.023700000005,2615.9246419131205,8603.502187554996,22.223391493596825,4052.030200563496,411.3476656097823,119.19180279977903,4114.88759252338,586.960841009668,7220.648763685822,1525.8539822003552
